size_M,size_N,size_K,method,splits,time_ms,gflops,max_abs_err,l2_rel_err
4096,4096,4096,fp64_cublas,0,54.9953,2499.10,0,0
4096,4096,4096,int8_cublas_baseline,2,88.5088,1552.83,2.573e-03,2.192e-05
4096,4096,4096,my_int8_fp64,2,18.6952,7351.58,2.573e-03,2.192e-05
4096,4096,4096,cublas_emulated,2,43.9607,3126.41,6.621e-05,5.395e-07
4096,4096,4096,int8_cublas_baseline,4,303.1385,453.39,4.345e-08,3.397e-10
4096,4096,4096,my_int8_fp64,4,58.3588,2355.07,4.345e-08,3.397e-10
4096,4096,4096,cublas_emulated,4,92.4771,1486.19,1.146e-09,9.705e-12
4096,4096,4096,int8_cublas_baseline,6,655.0364,209.82,7.958e-13,5.685e-15
4096,4096,4096,my_int8_fp64,6,119.3847,1151.23,8.029e-13,5.682e-15
4096,4096,4096,cublas_emulated,6,161.6995,849.97,6.253e-13,2.140e-15
4096,4096,4096,int8_cublas_baseline,8,1146.8824,119.84,6.395e-13,2.150e-15
4096,4096,4096,my_int8_fp64,8,201.6338,681.63,6.253e-13,2.139e-15
4096,4096,4096,cublas_emulated,8,161.8476,849.19,6.253e-13,2.140e-15
