size_M,size_N,size_K,method,splits,time_ms,gflops,max_abs_err,l2_rel_err
256,256,256,fp64_cublas,0,0.0461,728.18,0,0
256,256,256,int8_cublas_baseline,2,0.1812,185.13,4.952e-04,2.180e-05
256,256,256,my_int8_fp64,2,0.1188,282.48,4.952e-04,2.180e-05
256,256,256,cublas_emulated,2,1.1203,29.95,1.270e-05,5.023e-07
256,256,256,int8_cublas_baseline,4,0.5253,63.88,7.409e-09,3.368e-10
256,256,256,my_int8_fp64,4,0.2140,156.78,7.409e-09,3.368e-10
256,256,256,cublas_emulated,4,1.1796,28.44,2.247e-10,9.000e-12
256,256,256,int8_cublas_baseline,6,0.8520,39.38,1.230e-13,5.306e-15
256,256,256,my_int8_fp64,6,0.3564,94.16,1.232e-13,5.301e-15
256,256,256,cublas_emulated,6,1.2749,26.32,2.487e-14,5.575e-16
256,256,256,int8_cublas_baseline,8,1.2892,26.03,3.020e-14,6.034e-16
256,256,256,my_int8_fp64,8,0.5489,61.13,2.487e-14,5.630e-16
256,256,256,cublas_emulated,8,1.2800,26.21,2.487e-14,5.575e-16
1024,1024,1024,fp64_cublas,0,1.0895,1971.01,0,0
1024,1024,1024,int8_cublas_baseline,2,3.2881,653.11,1.227e-03,2.193e-05
1024,1024,1024,my_int8_fp64,2,0.9636,2228.64,1.227e-03,2.193e-05
1024,1024,1024,cublas_emulated,2,2.3388,918.19,2.746e-05,5.396e-07
1024,1024,1024,int8_cublas_baseline,4,8.3036,258.62,1.717e-08,3.395e-10
1024,1024,1024,my_int8_fp64,4,2.3214,925.08,1.717e-08,3.395e-10
1024,1024,1024,cublas_emulated,4,3.2942,651.90,5.339e-10,9.715e-12
1024,1024,1024,int8_cublas_baseline,6,16.2898,131.83,2.780e-13,5.312e-15
1024,1024,1024,my_int8_fp64,6,4.2578,504.37,2.780e-13,5.307e-15
1024,1024,1024,cublas_emulated,6,4.4954,477.71,5.329e-14,6.388e-16
1024,1024,1024,int8_cublas_baseline,8,27.2015,78.95,5.684e-14,6.762e-16
1024,1024,1024,my_int8_fp64,8,6.7789,316.79,5.329e-14,6.399e-16
1024,1024,1024,cublas_emulated,8,4.4974,477.49,5.329e-14,6.388e-16
