GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,2,1,1,4,9.516687,14441.89,6.605565322e-01,5.566357524e-03
4096,2,2,3,4,17.670674,7777.80,3.101298087e-03,2.683855789e-05
4096,2,3,4,4,20.841632,6594.44,2.572932715e-03,2.191820695e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,4,1,1,16,12.177846,11285.98,6.605565322e-01,5.566357524e-03
4096,4,2,3,16,20.528811,6694.93,3.101298087e-03,2.683855789e-05
4096,4,3,6,16,32.668165,4207.12,1.388259194e-05,1.219990939e-07
4096,4,4,10,16,48.002952,2863.14,6.194418489e-08,5.369745565e-10
4096,4,5,13,16,60.768850,2261.67,4.339871751e-08,3.396649637e-10
4096,4,6,15,16,67.425266,2038.39,4.345009685e-08,3.396624575e-10
4096,4,7,16,16,71.966635,1909.76,4.345016791e-08,3.396624596e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,6,1,1,36,15.007519,9158.01,6.605565322e-01,5.566357524e-03
4096,6,2,3,36,22.212817,6187.37,3.101298087e-03,2.683855789e-05
4096,6,3,6,36,34.779078,3951.77,1.388259194e-05,1.219990939e-07
4096,6,4,10,36,49.938294,2752.18,6.194418489e-08,5.369745565e-10
4096,6,5,15,36,69.791289,1969.29,2.553050826e-10,2.315038138e-12
4096,6,6,21,36,92.458153,1486.50,1.179500941e-12,1.007642775e-14
4096,6,7,26,36,112.544716,1221.19,8.029132914e-13,5.681553397e-15
4096,6,8,30,36,127.286956,1079.76,8.029132914e-13,5.681527925e-15
4096,6,9,33,36,138.903038,989.46,8.029132914e-13,5.681527927e-15
4096,6,10,35,36,146.259375,939.69,8.029132914e-13,5.681527927e-15
4096,6,11,36,36,151.495201,907.22,8.029132914e-13,5.681527927e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,8,1,1,64,17.598102,7809.87,6.605565322e-01,5.566357524e-03
4096,8,2,3,64,25.523883,5384.72,3.101298087e-03,2.683855789e-05
4096,8,3,6,64,37.904450,3625.93,1.388259194e-05,1.219990939e-07
4096,8,4,10,64,53.394562,2574.03,6.194418489e-08,5.369745565e-10
4096,8,5,15,64,72.608393,1892.88,2.553050826e-10,2.315038138e-12
4096,8,6,21,64,95.399925,1440.66,1.179500941e-12,1.007642775e-14
4096,8,7,28,64,122.204818,1124.66,6.252776075e-13,2.138953889e-15
4096,8,8,36,64,163.484441,840.69,6.252776075e-13,2.138752377e-15
4096,8,9,43,64,178.209091,771.22,6.252776075e-13,2.138752377e-15
4096,8,10,49,64,199.796624,687.89,6.252776075e-13,2.138752377e-15
4096,8,11,54,64,219.075839,627.36,6.252776075e-13,2.138752377e-15
4096,8,12,58,64,249.528791,550.79,6.252776075e-13,2.138752377e-15
4096,8,13,61,64,248.267004,553.59,6.252776075e-13,2.138752377e-15
4096,8,14,63,64,254.742369,539.52,6.252776075e-13,2.138752377e-15
4096,8,15,64,64,259.087749,530.47,6.252776075e-13,2.138752377e-15
