GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,2,1,1,4,10.355099,13272.59,6.605565322e-01,5.566357524e-03
4096,2,2,3,4,18.440449,7453.12,3.101298087e-03,2.683855789e-05
4096,2,3,4,4,22.190451,6193.61,2.572932715e-03,2.191820695e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,4,1,1,16,13.525982,10161.11,6.605565322e-01,5.566357524e-03
4096,4,2,3,16,20.990426,6547.70,3.101298087e-03,2.683855789e-05
4096,4,3,6,16,33.919057,4051.97,1.388259194e-05,1.219990939e-07
4096,4,4,10,16,49.311183,2787.18,6.194418489e-08,5.369745565e-10
4096,4,5,13,16,61.708474,2227.23,4.339871751e-08,3.396649637e-10
4096,4,6,15,16,70.668063,1944.85,4.345009685e-08,3.396624575e-10
4096,4,7,16,16,75.813242,1812.86,4.345016791e-08,3.396624596e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,6,1,1,36,16.733898,8213.21,6.605565322e-01,5.566357524e-03
4096,6,2,3,36,24.880346,5524.00,3.101298087e-03,2.683855789e-05
4096,6,3,6,36,37.112400,3703.32,1.388259194e-05,1.219990939e-07
4096,6,4,10,36,52.609596,2612.43,6.194418489e-08,5.369745565e-10
4096,6,5,15,36,72.181309,1904.08,2.553050826e-10,2.315038138e-12
4096,6,6,21,36,94.101011,1460.55,1.179500941e-12,1.007642775e-14
4096,6,7,26,36,115.360149,1191.39,8.029132914e-13,5.681553397e-15
4096,6,8,30,36,131.672968,1043.79,8.029132914e-13,5.681527925e-15
4096,6,9,33,36,143.611486,957.02,8.029132914e-13,5.681527927e-15
4096,6,10,35,36,152.192452,903.06,8.029132914e-13,5.681527927e-15
4096,6,11,36,36,156.197032,879.91,8.029132914e-13,5.681527927e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=4096 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
4096,8,1,1,64,19.542552,7032.80,6.605565322e-01,5.566357524e-03
4096,8,2,3,64,28.444588,4831.81,3.101298087e-03,2.683855789e-05
4096,8,3,6,64,40.701011,3376.79,1.388259194e-05,1.219990939e-07
4096,8,4,10,64,55.656854,2469.40,6.194418489e-08,5.369745565e-10
4096,8,5,15,64,75.865680,1811.61,2.553050826e-10,2.315038138e-12
4096,8,6,21,64,97.812072,1405.13,1.179500941e-12,1.007642775e-14
4096,8,7,28,64,125.208681,1097.68,6.252776075e-13,2.138953889e-15
4096,8,8,36,64,186.200899,738.12,6.252776075e-13,2.138752377e-15
4096,8,9,43,64,210.514690,652.87,6.252776075e-13,2.138752377e-15
4096,8,10,49,64,204.789180,671.12,6.252776075e-13,2.138752377e-15
4096,8,11,54,64,249.527422,550.80,6.252776075e-13,2.138752377e-15
4096,8,12,58,64,239.595649,573.63,6.252776075e-13,2.138752377e-15
4096,8,13,61,64,266.628408,515.47,6.252776075e-13,2.138752377e-15
4096,8,14,63,64,259.628062,529.37,6.252776075e-13,2.138752377e-15
4096,8,15,64,64,264.004654,520.59,6.252776075e-13,2.138752377e-15
