GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=2
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,2,1,1,4,51.379191,21399.94,9.572897685e-01,5.568534751e-03
8192,2,2,3,4,110.344606,9964.34,4.832115950e-03,2.684942864e-05
8192,2,3,4,4,141.167390,7788.71,3.567862336e-03,2.192054115e-05
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=4
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,4,1,1,16,61.194569,17967.47,9.572897685e-01,5.568534751e-03
8192,4,2,3,16,120.700845,9109.39,4.832115950e-03,2.684942864e-05
8192,4,3,6,16,211.709079,5193.50,2.289950777e-05,1.220574659e-07
8192,4,4,10,16,331.487971,3316.90,9.850541360e-08,5.373596566e-10
8192,4,5,13,16,423.005396,2599.29,5.933517855e-08,3.398068731e-10
8192,4,6,15,16,482.054108,2280.89,5.935330805e-08,3.398042039e-10
8192,4,7,16,16,511.454849,2149.77,5.935350700e-08,3.398042039e-10
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=6
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,6,1,1,36,72.507341,15164.14,9.572897685e-01,5.568534751e-03
8192,6,2,3,36,136.769250,8039.17,4.832115950e-03,2.684942864e-05
8192,6,3,6,36,221.799570,4957.23,2.289950777e-05,1.220574659e-07
8192,6,4,10,36,343.139146,3204.27,9.850541360e-08,5.373596566e-10
8192,6,5,15,36,493.703023,2227.07,3.949267580e-10,2.317046246e-12
8192,6,6,21,36,675.080671,1628.71,1.918465387e-12,1.030676090e-14
8192,6,7,26,36,826.350328,1330.56,1.648459147e-12,6.071510152e-15
8192,6,8,30,36,944.660108,1163.92,1.648459147e-12,6.071485333e-15
8192,6,9,33,36,1036.112503,1061.19,1.648459147e-12,6.071485332e-15
8192,6,10,35,36,1097.250313,1002.06,1.648459147e-12,6.071485332e-15
8192,6,11,36,36,1125.651078,976.78,1.648459147e-12,6.071485332e-15
GPU=NVIDIA A100 80GB PCIe MIG 1g.10gb CC=8.0 size=8192 splits=8
size,splits,D,retained_pairs,total_pairs,time_ms,gflops,max_abs_err,l2_rel_err
8192,8,1,1,64,81.092619,13558.71,9.572897685e-01,5.568534751e-03
8192,8,2,3,64,140.073595,7849.53,4.832115950e-03,2.684942864e-05
8192,8,3,6,64,231.825041,4742.85,2.289950777e-05,1.220574659e-07
8192,8,4,10,64,350.975585,3132.73,9.850541360e-08,5.373596566e-10
8192,8,5,15,64,500.956732,2194.82,3.949267580e-10,2.317046246e-12
8192,8,6,21,64,681.530029,1613.30,1.918465387e-12,1.030676090e-14
8192,8,7,28,64,891.752031,1232.98,1.534772309e-12,3.018149126e-15
8192,8,8,36,64,1133.638230,969.90,1.534772309e-12,3.018010401e-15
8192,8,9,43,64,1347.183910,816.16,1.534772309e-12,3.018010401e-15
8192,8,10,49,64,1527.276333,719.92,1.534772309e-12,3.018010401e-15
8192,8,11,54,64,1676.291167,655.92,1.534772309e-12,3.018010401e-15
8192,8,12,58,64,1805.038288,609.13,1.534772309e-12,3.018010401e-15
8192,8,13,61,64,1890.757534,581.52,1.534772309e-12,3.018010401e-15
8192,8,14,63,64,1952.318870,563.18,1.534772309e-12,3.018010401e-15
8192,8,15,64,64,1982.060187,554.73,1.534772309e-12,3.018010401e-15
